GPU_Name,brand,model,memory,memory_interface,clock_speed,Price,VRAM,Clock_Speed,Category,Usage
ASROCK RX6700 XT CLD 12GO,ASRock, Radeon RX6700XT CLD 12G , 12 GB ,4, 2581 MHz ,40792,12,2581,Basic-Level,Gaming or High-end
ASRock RX 6700XT 12GB ASROCK Phantom Gaming,ASRock, Radeon RX6700XT PGD 12GO , 12 GB ,4, 2622 MHz ,58992,12,2622,Basic-Level,Gaming or High-end
"Sapphire Technology Nitro+ AMD Radeon RX 6700 XT Gaming Graphics Card with 12GB GDDR6, AMD RDNA 2",SapphireTechnology, RX 6700 XT 12GB Nitro+ , 12 GB ,4, 2622 MHz ,39920,12,2622,Basic-Level,Gaming or High-end
"ASUS ROG Strix AMD Radeon RX 6700 XT OC Edition Gaming Graphics Card AMD RDNA 2, PCIe 4.0, 12GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Axial-tech Fan Design, 2.9-Slot, Super Alloy Power II, GPU Tweak II",ASUS, ROG Strix RX 6700 XT OC Edition , 12 GB ,4, 2622 MHz ,59918.4,12,2622,Basic-Level,Gaming or High-end
"PowerColor Hellhound Spectral White AMD Radeon RX 6700 XT Gaming Graphics Card with 12GB GDDR6 Memory, Powered by AMD RDNA 2, HDMI 2.1",PowerColor, Hellhound Spectral RX 6700 XT , 12 GB ,4, 2581 MHz ,88720,12,2581,High-Performance,Gaming or High-end
"XFX Speedster MERC319 AMD Radeon RX 6700 XT Black Gaming Graphics Card with 12GB GDDR6 HDMI 3xDP, AMD RDNA 2",XFX, Speedster MERC319 RX 6700 XT Black , 12 GB ,4, 2622 MHz ,88568.8,12,2622,High-Performance,Gaming or High-end
"PowerColor Fighter AMD Radeon RX 6700 XT Gaming Graphics Card with 12GB GDDR6 Memory, Powered by AMD RDNA 2, Raytracing, PCI Express 4.0",PowerColor, RX 6700 XT Fighter , 12 GB ,4, 2581 MHz ,43999.2,12,2581,Basic-Level,Gaming or High-end
MSI Gaming Radeon RX 6700 XT 192-bit 12GB GDDR6 DP/HDMI Dual Torx 3.0 Fans FreeSync DirectX 12 VR Ready Graphics Card,MSI, RX 6700 XT MECH 2X 12G , 12 GB ,4, 2620 MHz ,35999.2,12,2620,Basic-Level,Gaming or High-end
"ASUS Dual AMD Radeon RX 6700 XT Standard Edition 12GB GDDR6 Gaming Graphics Card (AMD RDNA 2, PCIe 4.0, 12GB GDDR6 Memory, HDMI 2.1",ASUS, RX 6700 XT Standard Edition , 12 GB ,4, 2622 MHz ,39190.4,12,2622,Basic-Level,Gaming or High-end
Gigabyte AORUS Radeon RX 6700 XT ELITE 12GB Graphics Card,Gigabyte, AORUS RX 6700 XT ELITE , 12 GB ,4, 2622 MHz ,108000,12,2622,High-Performance,Gaming or High-end
NVIDIA GeForce RTX 2080 Super Founders Edition Graphics Card,NVIDIA, GeForce RTX 2080 SUPER , 8 GB ,4, 1815 MHz ,103996,8,1815,Basic-Level,Work/Home
MSI Gaming GeForce RTX 2080 Super 8GB GDRR6 256-Bit HDMI/DP Nvlink Tri-Frozr Turing Architecture Overclocked Graphics Card,MSI, GeForce RTX 2080 SUPER , 8 GB ,4, 1845 MHz ,47920,8,1845,Basic-Level,Work/Home
"EVGA, GeForce RTX 2080 Super Black Gaming, 8GB GDDR6",EVGA, GeForce RTX 2080 Super , 8 GB ,4, 1815 MHz ,95996,8,1815,Basic-Level,Work/Home
"GIGABYTE GeForce RTX 2080 Super Windforce OC 8G Graphics Card, 3X Windforce Fans, 8GB 256-Bit GDDR6",Gigabyte, GeForce RTX 2080 Super , 8 GB ,4, 1830 MHz ,38320,8,1830,Basic-Level,Work/Home
ASUS GeForce RTX 2080 Super Overclocked 8G GDDR6 Dual-Fan EVO V2 Edition VR Ready HDMI DisplayPort 1.4 Graphics Card,ASUS, GeForce RTX 2080 SUPER , 8 GB ,4, 1860 MHz ,47920,8,1860,Basic-Level,Work/Home
ASUS ROG Strix GeForce RTX 2080 Super Advanced Overclocked 8G GDDR6 HDMI DP 1.4 USB Type-C Gaming Graphics Card ,ASUS, ROG Strix GeForce RTX 2080 , 8 GB ,4, 1860 MHz ,303999.2,8,1860,Basic-Level,Work/Home
"EVGA GeForce RTX 2080 Super FTW3 Ultra, Overclocked, 2.75 Slot Extreme Cool Triple + iCX2, 65C Gaming, RGB, Metal Backplate, 8GB",EVGA, GeForce RTX 2080 SUPER , 8 GB ,4, 1845 MHz ,55999.2,8,1845,Basic-Level,Work/Home
"EVGA GeForce RTX 2080 Super XC Ultra, Overclocked, 2.75 Slot Extreme Cool Dual, 70C Gaming, RGB, Metal Backplate, 8GB GDDR6",EVGA, GeForce RTX 2080 Super , 8 GB ,4, 1845 MHz ,42055.2,8,1845,Basic-Level,Work/Home
MSI GAMING GeForce RTX 2080 8GB GDRR6 256-bit HDMI/DP/USB Ray Tracing Turing Architecture Graphics Card (RTX 2080 VENTUS 8G OC),MSI, RTX 2080 VENTUS 8G OC , 8 GB ,4, 1800 MHz ,31920,8,1800,Basic-Level,Work/Home
"Gigabyte AORUS GeForce RTX 2080 8G Graphics Card, 3X Stacked Windforce Fans, 8GB 256-Bit GDDR6, GV-N2080AORUS-8GC Video Card",Gigabyte, GV-N2080AORUS-8GC , 8 GB ,4, 1890 MHz ,52720,8,1890,Basic-Level,Work/Home
"ZOTAC GAMING GeForce RTX 2080 Twin Fan 8GB GDDR6 256-bit Gaming Graphics Card, IceStorm 2.0 Cooling, Active Fan Control, Metal Backplate, Spectra Lighting, ZT-T20800G-10P",ZOTAC, ZT-T20800G-10P , 8 GB ,4, 1710 MHz ,40000,8,1710,Basic-Level,Work/Home
ASUS GeForce RTX 2080 O8G ROG STRIX OC Edition GDDR6 HDMI DP 1.4 Type-C graphics card,Asus, ROG Strix RTX2080 O8G Gaming , 8 GB ,4, 1890 MHz ,115999.2,8,1890,Basic-Level,Work/Home
"Gigabyte GeForce RTX 2080 Windforce 8G Graphics Card, 3X Windforce Fans, 8GB 256-Bit GDDR6, GV-N2080WF3-8GC Video Card",Gigabyte, GeForce RTX 2080 Windforce , 8 GB ,4, 1830 MHz ,39849.6,8,1830,Basic-Level,Work/Home
"Gigabyte 8GD GeForce RTX 2070 Super Windforce OC 8G Graphics Card, 3X Windforce Fans, 8GB 256-Bit GDDR6, Video Card",Gigabyte, Windforce OC , 8 GB ,4, 1785 MHz ,53440,8,1785,Basic-Level,Work/Home
NVIDIA GeForce RTX 2070 Super Founders Edition Graphics Card,NVIDIA, Founders Edition , 8 GB ,4, 1770 MHz ,38320,8,1770,Basic-Level,Work/Home
MSI Gaming GeForce RTX 2070 Super 8GB GDRR6 256-Bit HDMI/DP Nvlink Twin-Froze Turing Architecture Overclocked Graphics Card ,MSI, GeForce RTX 2070 SUPER , 8 GB ,4, 1800 MHz ,47199.2,8,1800,Basic-Level,Work/Home
"EVGA GeForce RTX 2070 Super Gaming, 8GB GDDR6",EVGA, GeForce RTX 2070 SUPER , 8 GB ,4, 1770 MHz ,43120,8,1770,Basic-Level,Work/Home
"EVGA GeForce RTX 2070 Super XC ultra gaming, 8GB GDDR6, Dual HDB Fans, RGB LED, Metal Backplate",EVGA, GeForce RTX 2070 SUPER , 8 GB ,4, 1800 MHz ,37996,8,1800,Basic-Level,Work/Home
"Gigabyte GeForce RTX 2070 Super Gaming OC 8G Graphics Card, 3X Windforce Fans, 8GB 256-Bit GDDR6, Video Card",Gigabyte, GeForce RTX 2070 Super , 8 GB ,4, 1815 MHz ,42399.2,8,1815,Basic-Level,Work/Home
Asus GeForce RTX 2070 Super Overclocked 8G EVO GDDR6 Dual-Fan Edition VR Ready HDMI DisplayPort Gaming Graphics Card ,ASUS, GeForce RTX 2070 SUPER , 8 GB ,4, 1845 MHz ,39528.8,8,1845,Basic-Level,Work/Home
"EVGA Corporation Graphics Card - GF RTX 2070 Super - 8 GB GDDR6 - PCIe 3.0 x16 - HDMI, 3 x DisplayPort, USB-C",EVGA, GeForce RTX 2070 SUPER , 8 GB ,4, 1770 MHz ,63920,8,1770,Basic-Level,Work/Home
ASUS ROG STRIX GeForce RTX 2070 SUPER Advanced Overclocked 8G GDDR6 HDMI DisplayPort USB Type-C Gaming Graphics Card,ASUS, GeForce RTX 2070 SUPER , 8 GB ,4, 1830 MHz ,38748.8,8,1830,Basic-Level,Work/Home
"EVGA GeForce RTX 2070 Super XC Gaming, 8GB GDDR6, Dual HDB Fans, RGB LED",EVGA, GeForce RTX 2070 SUPER , 8 GB ,4, 1800 MHz ,37579.2,8,1800,Basic-Level,Work/Home
