driveName,Type,Capacity  (in GBs),Benchmark Rank,Price,Release_Date
WDC WD10EZRX,HDD,932,6344," INR 7,199.20 ",2012
Seagate ST1000NM0011,HDD,932,6348," INR 3,879.20 ",2011
Seagate ST1000DX001,HDD,932,6351," INR 13,044.00 ",2015
WDC WD10EZRZ,HDD,932,6358," INR 77,331.20 ",2015
TOSHIBA MQ04ABF100,HDD,932,6361," INR 2,800.00 ",2017
Seagate ST1000DX002,HDD,932,6381," INR 10,876.00 ",2016
HGST HTS541010A7E630,HDD,932,6386," INR 6,399.20 ",2014
WDC WD1003FBYZ,HDD,932,6400," INR 3,199.20 ",2014
SAMSUNG HD103SJ,HDD,932,6416," INR 9,600.00 ",2009
WDC WD10EURX,HDD,932,6427," INR 1,999.20 ",2012
SAMSUNG HE103SJ,HDD,932,6432," INR 12,636.00 ",2010
HGST HTE721010A9E630,HDD,932,6435," INR 6,236.00 ",2014
Seagate ST1000LM049,HDD,932,6442," INR 4,400.00 ",2017
WDC WD10PURX,HDD,932,6459," INR 4,360.00 ",2014
WDC WD1003FBYX,HDD,932,6474," INR 1,976.80 ",2010
WDC WD1002FAEX,HDD,932,6504," INR 8,639.20 ",2010
TOSHIBA MQ01ABD100H,HDD,932,6509," INR 3,280.00 ",2013
Seagate ST31000524NS,HDD,932,6516," INR 3,836.00 ",2010
WDC WD10SPCX,HDD,932,6534," INR 4,239.20 ",2013
HGST HTS721010A9E630,HDD,932,6556," INR 11,765.60 ",2012
Seagate ST1000DM005,HDD,932,6574," INR 6,799.20 ",2012
WDC WD10JPLX,HDD,932,6582," INR 5,599.20 ",2016
WDC WD10EALS,HDD,932,6585," INR 10,399.20 ",2010
WDC WD1001FAES,HDD,932,6611," INR 14,320.00 ",2010
WDC WD10EALX,HDD,932,6620," INR 5,199.20 ",2011
WDC WD10SPZX,HDD,932,6622," INR 3,599.20 ",2016
Seagate ST31000533CS,HDD,932,6630," INR 7,991.20 ",2013
Hitachi HUA722010CLA331,HDD,932,6642," INR 2,399.20 ",2012
TOSHIBA MQ01ABD,HDD,932,6645," INR 5,168.00 ",2013
Seagate ST31000525SV,HDD,932,6685," INR 7,990.40 ",2009
Seagate ST1000DL002,HDD,932,6689," INR 4,399.20 ",2011
Seagate ST31000528AS,HDD,932,6696," INR 7,359.20 ",2009
WDC WD10JUCT,HDD,932,6699," INR 6,639.20 ",2013
Seagate ST31000520AS,HDD,932,6704," INR 19,996.00 ",2009
Hitachi HDS721010CLA632,HDD,932,6711," INR 4,400.00 ",2011
WDC WD1002FBYS,HDD,932,6720," INR 15,730.40 ",2009
TOSHIBA MQ01ABD100M,HDD,932,6723," INR 3,919.20 ",2016
WDC WD10EARX,HDD,932,6737," INR 9,599.20 ",2011
Seagate ST91000640NS,HDD,932,6741," INR 7,996.00 ",2013
Seagate ST31000524AS,HDD,932,6744," INR 10,088.80 ",2011
WDC WD10JPCX,HDD,932,6753," INR 4,559.20 ",2013
WDC WD10JPVX,HDD,932,6766," INR 3,519.20 ",2013
TOSHIBA MQ01ABD100,HDD,932,6769," INR 2,799.20 ",2012
Seagate ST31000526SV,HDD,932,6798," INR 9,647.20 ",2011
Hitachi HDS721010CLA332,HDD,932,6799," INR 9,892.80 ",2009
Seagate ST1000LM035,HDD,932,6814," INR 3,196.00 ",2016
WDC WD10JPVT,HDD,932,6815," INR 6,399.20 ",2012
WDC WD1001FALS,HDD,932,6858," INR 8,730.40 ",2009
Seagate ST1000LM014,HDD,932,6867," INR 7,192.80 ",2013
SAMSUNG HD103UJ,HDD,932,6878," INR 7,153.60 ",2008
Hitachi HCS721010CLA332,HDD,932,6882," INR 7,920.00 ",2014
Seagate ST31000333AS,HDD,932,6895," INR 19,519.20 ",2009
Hitachi HTS541010A9E680,HDD,932,6950," INR 3,974.40 ",2012
WDC WD10S21X,HDD,932,6952," INR 14,879.20 ",2014
Seagate ST1000LM048,HDD,932,6953," INR 3,599.20 ",2016
SAMSUNG HD103SI,HDD,932,6957," INR 4,136.80 ",2009
WDC WD10EUCX,HDD,932,6961," INR 7,045.60 ",2013
Seagate ST1000LM024,HDD,932,6968," INR 2,959.20 ",2012
TOSHIBA MQ02ABF100,HDD,932,6972," INR 11,400.00 ",2014
HP GB1000EAFJL,HDD,932,6976," INR 11,040.00 ",2012
WDC WD10J31X,HDD,932,6987," INR 16,360.00 ",2015
Seagate ST31000340NS,HDD,932,6995," INR 3,431.20 ",2009
