,GPU_Name,brand,model,memory,memory_interface,clock_speed,Price
69,"AMD Radeon RX 6700 XT Gaming Graphics Card with 12GB GDDR6, AMD RDNA 2",XFX, RX-67TMYDFD8 , 12 GB , GDDR6 , 2615 MHz ,59999.20
70,"PowerColor Hellhound AMD Radeon RX 6700 XT Gaming Graphics Card with 12GB GDDR6 Memory, Powered by AMD RDNA 2, Raytracing",PowerColor, AXRX 6700XT 12GBD6-3DHL , 12 GB , GDDR6 , 2581 MHz ,49760.00
71,ASROCK RX6700 XT CLD 12GO,ASRock, Radeon RX6700XT CLD 12G , 12 GB , GDDR6 , 2581 MHz ,40792.00
72,ASRock RX 6700XT 12GB ASROCK Phantom Gaming,ASRock, Radeon RX6700XT PGD 12GO , 12 GB , GDDR6 , 2622 MHz ,58992.00
73,"Sapphire Technology Nitro+ AMD Radeon RX 6700 XT Gaming Graphics Card with 12GB GDDR6, AMD RDNA 2",SapphireTechnology, RX 6700 XT 12GB Nitro+ , 12 GB , GDDR6 , 2622 MHz ,39920.00
74,"ASUS ROG Strix AMD Radeon RX 6700 XT OC Edition Gaming Graphics Card AMD RDNA 2, PCIe 4.0, 12GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Axial-tech Fan Design, 2.9-Slot, Super Alloy Power II, GPU Tweak II",ASUS, ROG Strix RX 6700 XT OC Edition , 12 GB , GDDR6 , 2622 MHz ,59918.40
75,"PowerColor Hellhound Spectral White AMD Radeon RX 6700 XT Gaming Graphics Card with 12GB GDDR6 Memory, Powered by AMD RDNA 2, HDMI 2.1",PowerColor, Hellhound Spectral RX 6700 XT , 12 GB , GDDR6 , 2581 MHz ,88720.00
76,"XFX Speedster MERC319 AMD Radeon RX 6700 XT Black Gaming Graphics Card with 12GB GDDR6 HDMI 3xDP, AMD RDNA 2",XFX, Speedster MERC319 RX 6700 XT Black , 12 GB , GDDR6 , 2622 MHz ,88568.80
77,"PowerColor Fighter AMD Radeon RX 6700 XT Gaming Graphics Card with 12GB GDDR6 Memory, Powered by AMD RDNA 2, Raytracing, PCI Express 4.0",PowerColor, RX 6700 XT Fighter , 12 GB , GDDR6 , 2581 MHz ,43999.20
78,MSI Gaming Radeon RX 6700 XT 192-bit 12GB GDDR6 DP/HDMI Dual Torx 3.0 Fans FreeSync DirectX 12 VR Ready Graphics Card,MSI, RX 6700 XT MECH 2X 12G , 12 GB , GDDR6 , 2620 MHz ,35999.20
